item_name,item_rating,item_price 
Back Cover Magnetic For Samsung S22 Ultra Magsafing Support Wireless Charging Cover - Transparent ,0%, was EGP199.00     Special Price EGP149.00
Case for Samsung Watch 4 46mm Full Protective - White ,0%, EGP99.00
Samsung C to C Cable PD 1m - Black ,0%, EGP649.00
Case for Samsung Watch 4 46mm Full Protective - Blue ,0%, EGP99.00
Armor Screen Nano Glass Anti Fingerprint Matte for Samsung A32 ,0%, EGP99.00
Armor Screen Nano Glass Anti broken for Samsung A32 ,0%, EGP99.00
Case for Samsung Watch 4 46mm Full Protective - Green ,0%, EGP99.00
Case for Samsung Watch 4 46mm Full Protective - Black ,0%, EGP99.00
Case for Samsung Watch 4 46mm Full Protective - Clear ,0%, EGP99.00
Case for Samsung Watch 4 46mm Full Protective - Silver ,0%, EGP99.00
Devia Smart Series PD&QC Quick Charger EU 30W Apple PD20W Huawei & Samsung Super Quick Charge - White ,0%, was EGP639.00     Special Price EGP509.00
Smart Charger For Huawei Active 1,0%, was EGP729.00     Special Price EGP509.00
Smart Charger for Samsung Fit 2 ,0%, was EGP289.00     Special Price EGP199.00
Smart Charger For Huawei Active 1,0%, was EGP699.00     Special Price EGP489.00
Smart Charger For Samsung Gear S3 ,0%, was EGP699.00     Special Price EGP489.00
Camera Lens Glass for Samsung S22 Ultra ,0%, EGP149.00
